# Effective area for Roman (m^2) - parameters as of 2021 06 14,,,,,,,,,,,
Wave,F062,F087,F106,F129,F158,F184,F146,F213,SNPrism,Grism_1stOrder,Grism_0thOrder
0.513,1.3491,0,0,0,0,0,0,0,0,0,0
0.514,1.3532,0,0,0,0,0,0,0,0,0,0
0.515,1.3572,0,0,0,0,0,0,0,0,0,0
0.516,1.3615,0,0,0,0,0,0,0,0,0,0
0.517,1.3663,0,0,0,0,0,0,0,0,0,0
0.518,1.3716,0,0,0,0,0,0,0,0,0,0
0.519,1.3771,0,0,0,0,0,0,0,0,0,0
0.52,1.3827,0,0,0,0,0,0,0,0,0,0
0.521,1.3886,0,0,0,0,0,0,0,0,0,0
0.522,1.3948,0,0,0,0,0,0,0,0,0,0
0.523,1.4013,0,0,0,0,0,0,0,0,0,0
0.524,1.4079,0,0,0,0,0,0,0,0,0,0
0.525,1.4144,0,0,0,0,0,0,0,0,0,0
0.526,1.4211,0,0,0,0,0,0,0,0,0,0
0.527,1.4284,0,0,0,0,0,0,0,0,0,0
0.528,1.4358,0,0,0,0,0,0,0,0,0,0
0.529,1.4431,0,0,0,0,0,0,0,0,0,0
0.53,1.4506,0,0,0,0,0,0,0,0,0,0
0.531,1.4587,0,0,0,0,0,0,0,0,0,0
0.532,1.4669,0,0,0,0,0,0,0,0,0,0
0.533,1.4749,0,0,0,0,0,0,0,0,0,0
0.534,1.4831,0,0,0,0,0,0,0,0,0,0
0.535,1.4918,0,0,0,0,0,0,0,0,0,0
0.536,1.5006,0,0,0,0,0,0,0,0,0,0
0.537,1.5092,0,0,0,0,0,0,0,0,0,0
0.538,1.518,0,0,0,0,0,0,0,0,0,0
0.539,1.5272,0,0,0,0,0,0,0,0,0,0
0.54,1.5366,0,0,0,0,0,0,0,0,0,0
0.541,1.5458,0,0,0,0,0,0,0,0,0,0
0.542,1.555,0,0,0,0,0,0,0,0,0,0
0.543,1.5643,0,0,0,0,0,0,0,0,0,0
0.544,1.5737,0,0,0,0,0,0,0,0,0,0
0.545,1.5831,0,0,0,0,0,0,0,0,0,0
0.546,1.5928,0,0,0,0,0,0,0,0,0,0
0.547,1.6028,0,0,0,0,0,0,0,0,0,0
0.548,1.613,0,0,0,0,0,0,0,0,0,0
0.549,1.6229,0,0,0,0,0,0,0,0,0,0
0.55,1.6326,0,0,0,0,0,0,0,0,0,0
0.551,1.6424,0,0,0,0,0,0,0,0,0,0
0.552,1.6524,0,0,0,0,0,0,0,0,0,0
0.553,1.6625,0,0,0,0,0,0,0,0,0,0
0.554,1.673,0,0,0,0,0,0,0,0,0,0
0.555,1.684,0,0,0,0,0,0,0,0,0,0
0.556,1.6952,0,0,0,0,0,0,0,0,0,0
0.557,1.7062,0,0,0,0,0,0,0,0,0,0
0.558,1.7171,0,0,0,0,0,0,0,0,0,0
0.559,1.7283,0,0,0,0,0,0,0,0,0,0
0.56,1.7396,0,0,0,0,0,0,0,0,0,0
0.561,1.751,0,0,0,0,0,0,0,0,0,0
0.562,1.7625,0,0,0,0,0,0,0,0,0,0
0.563,1.7742,0,0,0,0,0,0,0,0,0,0
0.564,1.7859,0,0,0,0,0,0,0,0,0,0
0.565,1.7976,0,0,0,0,0,0,0,0,0,0
0.566,1.8095,0,0,0,0,0,0,0,0,0,0
0.567,1.8213,0,0,0,0,0,0,0,0,0,0
0.568,1.8332,0,0,0,0,0,0,0,0,0,0
0.569,1.8452,0,0,0,0,0,0,0,0,0,0
0.57,1.8571,0,0,0,0,0,0,0,0,0,0
0.571,1.8691,0,0,0,0,0,0,0,0,0,0
0.572,1.8811,0,0,0,0,0,0,0,0,0,0
0.573,1.893,0,0,0,0,0,0,0,0,0,0
0.574,1.9049,0,0,0,0,0,0,0,0,0,0
0.575,1.9168,0,0,0,0,0,0,0,0,0,0
0.576,1.9286,0,0,0,0,0,0,0,0,0,0
0.577,1.9403,0,0,0,0,0,0,0,0,0,0
0.578,1.952,0,0,0,0,0,0,0,0,0,0
0.579,1.9636,0,0,0,0,0,0,0,0,0,0
0.58,1.9751,0,0,0,0,0,0,0,0,0,0
0.581,1.9865,0,0,0,0,0,0,0,0,0,0
0.582,1.9978,0,0,0,0,0,0,0,0,0,0
0.583,2.0089,0,0,0,0,0,0,0,0,0,0
0.584,2.02,0,0,0,0,0,0,0,0,0,0
0.585,2.0308,0,0,0,0,0,0,0,0,0,0
0.586,2.0415,0,0,0,0,0,0,0,0,0,0
0.587,2.0521,0,0,0,0,0,0,0,0,0,0
0.588,2.0624,0,0,0,0,0,0,0,0,0,0
0.589,2.0726,0,0,0,0,0,0,0,0,0,0
0.59,2.0826,0,0,0,0,0,0,0,0,0,0
0.591,2.0923,0,0,0,0,0,0,0,0,0,0
0.592,2.1018,0,0,0,0,0,0,0,0,0,0
0.593,2.1111,0,0,0,0,0,0,0,0,0,0
0.594,2.1201,0,0,0,0,0,0,0,0,0,0
0.595,2.1289,0,0,0,0,0,0,0,0,0,0
0.596,2.1374,0,0,0,0,0,0,0,0,0,0
0.597,2.1456,0,0,0,0,0,0,0,0,0,0
0.598,2.1535,0,0,0,0,0,0,0,0,0,0
0.599,2.1613,0,0,0,0,0,0,0,0,0,0
0.6,2.1685,0,0,0,0,0,0,0,0,0,0
0.601,2.1745,0,0,0,0,0,0,0,0,0,0
0.602,2.1803,0,0,0,0,0,0,0,0,0,0
0.603,2.1864,0,0,0,0,0,0,0,0,0,0
0.604,2.1924,0,0,0,0,0,0,0,0,0,0
0.605,2.1981,0,0,0,0,0,0,0,0,0,0
0.606,2.2036,0,0,0,0,0,0,0,0,0,0
0.607,2.2088,0,0,0,0,0,0,0,0,0,0
0.608,2.214,0,0,0,0,0,0,0,0,0,0
0.609,2.219,0,0,0,0,0,0,0,0,0,0
0.61,2.2237,0,0,0,0,0,0,0,0,0,0
0.611,2.2277,0,0,0,0,0,0,0,0,0,0
0.612,2.2315,0,0,0,0,0,0,0,0,0,0
0.613,2.2357,0,0,0,0,0,0,0,0,0,0
0.614,2.2399,0,0,0,0,0,0,0,0,0,0
0.615,2.2439,0,0,0,0,0,0,0,0,0,0
0.616,2.2477,0,0,0,0,0,0,0,0,0,0
0.617,2.2515,0,0,0,0,0,0,0,0,0,0
0.618,2.255,0,0,0,0,0,0,0,0,0,0
0.619,2.2579,0,0,0,0,0,0,0,0,0,0
0.62,2.2607,0,0,0,0,0,0,0,0,0,0
0.621,2.2638,0,0,0,0,0,0,0,0,0,0
0.622,2.2671,0,0,0,0,0,0,0,0,0,0
0.623,2.2704,0,0,0,0,0,0,0,0,0,0
0.624,2.2732,0,0,0,0,0,0,0,0,0,0
0.625,2.2756,0,0,0,0,0,0,0,0,0,0
0.626,2.2787,0,0,0,0,0,0,0,0,0,0
0.627,2.2821,0,0,0,0,0,0,0,0,0,0
0.628,2.2857,0,0,0,0,0,0,0,0,0,0
0.629,2.2892,0,0,0,0,0,0,0,0,0,0
0.63,2.2924,0,0,0,0,0,0,0,0,0,0
0.631,2.295,0,0,0,0,0,0,0,0,0,0
0.632,2.2975,0,0,0,0,0,0,0,0,0,0
0.633,2.3003,0,0,0,0,0,0,0,0,0,0
0.634,2.3033,0,0,0,0,0,0,0,0,0,0
0.635,2.3062,0,0,0,0,0,0,0,0,0,0
0.636,2.3087,0,0,0,0,0,0,0,0,0,0
0.637,2.3106,0,0,0,0,0,0,0,0,0,0
0.638,2.3125,0,0,0,0,0,0,0,0,0,0
0.639,2.3148,0,0,0,0,0,0,0,0,0,0
0.64,2.3169,0,0,0,0,0,0,0,0,0,0
0.641,2.3184,0,0,0,0,0,0,0,0,0,0
0.642,2.3197,0,0,0,0,0,0,0,0,0,0
0.643,2.3214,0,0,0,0,0,0,0,0,0,0
0.644,2.3232,0,0,0,0,0,0,0,0,0,0
0.645,2.3247,0,0,0,0,0,0,0,0,0,0
0.646,2.3261,0,0,0,0,0,0,0,0,0,0
0.647,2.3275,0,0,0,0,0,0,0,0,0,0
0.648,2.3285,0,0,0,0,0,0,0,0,0,0
0.649,2.3289,0,0,0,0,0,0,0,0,0,0
0.65,2.3291,0,0,0,0,0,0,0,0,0,0
0.651,2.3296,0,0,0,0,0,0,0,0,0,0
0.652,2.3302,0,0,0,0,0,0,0,0,0,0
0.653,2.3306,0,0,0,0,0,0,0,0,0,0
0.654,2.3306,0,0,0,0,0,0,0,0,0,0
0.655,2.33,0,0,0,0,0,0,0,0,0,0
0.656,2.3293,0,0,0,0,0,0,0,0,0,0
0.657,2.329,0,0,0,0,0,0,0,0,0,0
0.658,2.3286,0,0,0,0,0,0,0,0,0,0
0.659,2.3275,0,0,0,0,0,0,0,0,0,0
0.66,2.3263,0,0,0,0,0,0,0,0,0,0
0.661,2.3256,0,0,0,0,0,0,0,0,0,0
0.662,2.325,0,0,0,0,0,0,0,0,0,0
0.663,2.3242,0,0,0,0,0,0,0,0,0,0
0.664,2.3234,0,0,0,0,0,0,0,0,0,0
0.665,2.3226,0,0,0,0,0,0,0,0,0,0
0.666,2.3217,0,0,0,0,0,0,0,0,0,0
0.667,2.3202,0,0,0,0,0,0,0,0,0,0
0.668,2.3187,0,0,0,0,0,0,0,0,0,0
0.669,2.3177,0,0,0,0,0,0,0,0,0,0
0.67,2.317,0,0,0,0,0,0,0,0,0,0
0.671,2.3164,0,0,0,0,0,0,0,0,0,0
0.672,2.3155,0,0,0,0,0,0,0,0,0,0
0.673,2.3142,0,0,0,0,0,0,0,0,0,0
0.674,2.313,0,0,0,0,0,0,0,0,0,0
0.675,2.3124,0,0,0,0,0,0,0,0,0,0
0.676,2.3126,0,0,0,0,0,0,0,0,0,0
0.677,2.3128,0,0,0,0,0,0,0,0,0,0
0.678,2.313,0,0,0,0,0,0,0,0,0,0
0.679,2.3133,0,0,0,0,0,0,0,0,0,0
0.68,2.3136,0,0,0,0,0,0,0,0,0,0
0.681,2.3139,0,0,0,0,0,0,0,0,0,0
0.682,2.3143,0,0,0,0,0,0,0,0,0,0
0.683,2.3148,0,0,0,0,0,0,0,0,0,0
0.684,2.3152,0,0,0,0,0,0,0,0,0,0
0.685,2.315,0,0,0,0,0,0,0,0,0,0
0.686,2.3149,0,0,0,0,0,0,0,0,0,0
0.687,2.3152,0,0,0,0,0,0,0,0,0,0
0.688,2.3158,0,0,0,0,0,0,0,0,0,0
0.689,2.3164,0,0,0,0,0,0,0,0,0,0
0.69,2.3167,0,0,0,0,0,0,0,0,0,0
0.691,2.3165,0,0,0,0,0,0,0,0,0,0
0.692,2.3163,0,0,0,0,0,0,0,0,0,0
0.693,2.3166,0,0,0,0,0,0,0,0,0,0
0.694,2.317,0,0,0,0,0,0,0,0,0,0
0.695,2.3175,0,0,0,0,0,0,0,0,0,0
0.696,2.3176,0,0,0,0,0,0,0,0,0,0
0.697,2.3172,0,0,0,0,0,0,0,0,0,0
0.698,2.3168,0,0,0,0,0,0,0,0,0,0
0.699,2.3168,0,0,0,0,0,0,0,0,0,0
0.7,2.3169,0,0,0,0,0,0,0,0,0,0
0.701,2.3158,0,0,0,0,0,0,0,0,0,0
