#         WAVE          FLUX
#------------- -------------
     3528.900      3.915408
     3529.000      3.759566
     3529.100      3.781424
     3529.200      3.958682
     3529.300      4.131040
     3529.400      4.234697
     3529.500      4.369655
     3529.600      4.476613
     3529.700      4.475271
     3529.800      4.535529
     3529.900      4.431887
     3530.000      4.096045
     3530.100      3.944802
     3530.200      3.933460
     3530.300      3.826718
     3530.400      3.813776
     3530.500      3.988234
     3530.600      4.101392
     3530.700      4.036250
     3530.800      3.987608
     3530.900      4.178366
     3531.000      4.362624
     3531.100      4.339782
     3531.200      4.354440
     3531.300      4.380399
     3531.400      4.305657
     3531.500      4.299015
     3531.600      4.503173
     3531.700      4.671831
     3531.800      4.537289
     3531.900      4.340147
     3532.000      4.373806
     3532.100      4.580063
     3532.200      4.643922
     3532.300      4.481580
     3532.400      4.389338
     3532.500      4.315896
     3532.600      4.218054
     3532.700      4.219913
     3532.800      4.221871
     3532.900      4.131729
     3533.000      4.055288
     3533.100      4.128545
     3533.200      4.407104
     3533.300      4.516362
     3533.400      4.267521
     3533.500      3.975079
     3533.600      3.888337
     3533.700      3.982296
     3533.800      4.071154
     3533.900      4.020313
     3534.000      3.831770
     3534.100      3.712229
     3534.200      3.767388
     3534.300      3.836746
     3534.400      3.834605
     3534.500      3.868663
     3534.600      4.005321
     3534.700      4.198980
     3534.800      4.330538
     3534.900      4.353697
     3535.000      4.365355
     3535.100      4.444613
     3535.200      4.474272
     3535.300      4.333231
     3535.400      4.134689
     3535.500      4.034148
     3535.600      4.040007
     3535.700      4.134465
     3535.800      4.193024
     3535.900      4.160182
     3536.000      4.081041
     3536.100      3.993600
     3536.200      3.968558
     3536.300      4.024417
     3536.400      4.083776
     3536.500      4.087734
     3536.600      4.102193
     3536.700      3.988952
     3536.800      3.729710
     3536.900      3.606469
     3537.000      3.729628
     3537.100      3.884686
     3537.200      3.892946
     3537.300      3.826704
     3537.400      3.806063
     3537.500      3.888822
     3537.600      3.984580
     3537.700      4.044539
     3537.800      4.179998
     3537.900      4.291358
     3538.000      4.233216
     3538.100      4.176475
     3538.200      4.272634
     3538.300      4.413693
     3538.400      4.533152
     3538.500      4.539611
     3538.600      4.360770
     3538.700      4.113829
     3538.800      3.934087
     3538.900      3.937047
     3539.000      4.060605
     3539.100      4.191964
     3539.200      4.188324
